,$f_{1}$,$f_{2}$,$f_{3}$,$f_{4}$,$f_{5}$,$f_{6}$,$f_{7}$,$f_{8}$,$f_{9}$,$f_{10}$,$f_{11}$,$f_{12}$,$f_{13}$,$f_{14}$,$f_{15}$,$f_{16}$,$f_{17}$,$f_{18}$,$f_{19}$,$f_{20}$,$f_{21}$,$f_{22}$,$f_{23}$,$f_{24}$
$m_{1}$,0.47,0.01,0.11,0.10,0.47,0.03,0.19,0.06,0.09,0.03,0.00,0.00,0.39,0.27,0.21,0.41,0.41,0.27,0.62,0.05,0.41,0.53,0.35,0.52
$m_{2}$,0.45,0.02,0.10,0.09,0.44,0.01,0.17,0.02,0.05,0.01,0.00,0.00,0.31,0.26,0.19,0.41,0.41,0.27,0.62,0.03,0.39,0.52,0.35,0.47
$m_{3}$,0.43,0.01,0.09,0.07,0.43,0.00,0.14,0.00,0.00,0.01,0.00,0.00,0.20,0.24,0.18,0.41,0.41,0.27,0.61,0.00,0.36,0.51,0.35,0.44
$m_{4}$,0.53,0.06,0.15,0.12,0.54,0.14,0.25,0.15,0.15,0.05,0.00,0.01,0.50,0.30,0.27,0.41,0.41,0.28,0.62,0.13,0.42,0.54,0.35,0.58
$m_{5}$,0.52,0.06,0.15,0.12,0.54,0.13,0.25,0.13,0.11,0.05,0.00,0.01,0.49,0.29,0.26,0.41,0.41,0.28,0.62,0.11,0.42,0.54,0.35,0.56
$m_{6}$,0.52,0.05,0.14,0.11,0.54,0.13,0.24,0.12,0.13,0.05,0.00,0.01,0.48,0.29,0.26,0.41,0.41,0.28,0.62,0.10,0.42,0.54,0.35,0.56
$m_{7}$,0.51,0.05,0.14,0.11,0.54,0.12,0.24,0.11,0.10,0.04,0.00,0.01,0.47,0.29,0.25,0.41,0.41,0.27,0.62,0.10,0.42,0.54,0.35,0.55
$m_{8}$,0.53,0.06,0.15,0.12,0.54,0.14,0.26,0.15,0.18,0.05,0.00,0.01,0.50,0.30,0.27,0.41,0.42,0.28,0.62,0.14,0.43,0.54,0.35,0.60
$m_{9}$,0.53,0.06,0.15,0.12,0.54,0.14,0.25,0.15,0.16,0.05,0.00,0.01,0.50,0.29,0.27,0.41,0.42,0.28,0.62,0.13,0.42,0.54,0.35,0.58
$m_{10}$,0.49,0.06,0.12,0.11,0.45,0.04,0.23,0.11,0.22,0.03,0.00,0.01,0.44,0.29,0.26,0.41,0.42,0.28,0.63,0.12,0.42,0.53,0.35,0.65
$m_{11}$,0.52,0.06,0.18,0.15,0.53,0.12,0.27,0.15,0.18,0.05,0.00,0.01,0.48,0.30,0.31,0.41,0.42,0.28,0.63,0.13,0.42,0.54,0.35,0.68
$m_{12}$,0.57,0.14,0.19,0.15,0.58,0.27,0.33,0.21,0.17,0.11,0.00,0.02,0.57,0.33,0.34,0.41,0.42,0.29,0.62,0.18,0.43,0.54,0.35,0.63
$m_{13}$,0.54,0.07,0.16,0.13,0.55,0.17,0.27,0.18,0.20,0.06,0.00,0.01,0.52,0.30,0.28,0.41,0.42,0.28,0.62,0.16,0.43,0.54,0.35,0.61
